,x0,x1,target
0,6.2874737,12.934068,9
1,3.3195019,5.1553273,8
2,4.7014675,6.268834,8
3,10.052527,16.652325,4
4,-7.0679812,-2.0434918,0
5,1.8932759,-3.6280713,6
6,12.695839,-3.9127076,1
7,1.3524281,-1.201762,6
8,9.310555,0.6237097,2
9,9.9412,3.0693407,2
10,-1.3530941,12.463436,3
11,-5.236751,-2.5656602,0
12,12.288616,8.157069,7
13,-2.2359424,12.297721,3
14,13.6255245,-5.257437,1
15,9.32387,17.580791,4
16,16.22026,6.9498816,7
17,10.163377,2.5095973,2
18,-1.741348,10.367896,3
19,-1.9308721,12.12754,3
20,3.1734848,5.338008,8
21,3.0310276,-3.8608332,6
22,3.372935,-3.765861,6
23,12.983267,-3.8512976,1
24,1.1931069,-3.5023243,6
25,5.790346,13.399367,9
26,-5.233308,-2.7057002,0
27,3.1299407,-2.8832755,6
28,-5.0797343,-2.0020413,0
29,10.407202,17.372694,4
30,12.947017,-3.9371443,1
31,10.49238,2.8691685,2
32,6.401309,12.65273,9
33,-1.6015749,10.8883095,3
34,6.6652923,12.031292,9
35,0.81143624,-3.2937708,6
36,0.9227685,-1.5563256,6
37,-5.784883,6.5044312,5
38,10.729676,1.5474001,2
39,6.2392254,13.431783,9
40,9.990536,17.901274,4
41,4.1036754,5.303111,8
42,-6.8686805,5.611736,5
43,-5.505639,-3.0913222,0
44,3.6917799,5.1286335,8
45,5.622739,11.882205,9
46,14.470958,7.1784387,7
47,15.453135,6.140421,7
48,15.079499,7.569029,7
49,2.2561824,-3.5772202,6
50,-1.7490505,12.2332115,3
51,6.8966107,11.792691,9
52,8.37639,0.19690794,2
53,-5.0012474,6.4999437,5
54,10.20684,16.394873,4
55,14.752812,8.96917,7
56,9.778411,2.9878957,2
57,2.3551507,-1.81357,6
58,4.6407685,13.074694,9
59,-5.596429,6.51208,5
60,16.033289,6.401046,7
61,9.904788,1.7292658,2
62,10.77132,16.998608,4
63,-7.33397,6.4539924,5
64,8.329154,-0.12250086,2
65,-5.3397226,5.571282,5
66,12.196307,-4.171072,1
67,-5.9860964,-3.0508623,0
68,12.736339,9.014654,7
69,5.073845,12.95694,9
70,1.2575334,-1.4413589,6
71,-6.6043034,6.164056,5
72,11.368203,-4.519382,1
